#front|back
的|對 ， 是 我的 。<br /><br />duì, shì wǒde·.<br /><br />Yes, they are [mine].
一|有 一點 。<br /><br />yǒu yìdiǎn.<br /><br />Yes, a little.
是|不是 ， 那 不是 。<br /><br />búshì, nà búshì.<br /><br />No, it isn't [yours].
不|不是 ， 那 不是 。<br /><br />búshì, nà búshì.<br /><br />No, it isn't [yours].
了|不在 ， 他們 出門了 。<br /><br />búzài, tāmen chūménle·.<br /><br />No, they're out.
人|不是 ， 她 是 美國人 。<br /><br />búshì, tā shì měiguórén.<br /><br />No, she's American.
我|對 ， 我 是 。<br /><br />duì, wǒ shì.<br /><br />Yes, I am [a student].
在|沒有 ， 現在 沒有 。<br /><br />méiyǒu, xiànzài méiyǒu.<br /><br />No, not right now.
有|有 。<br /><br />yǒu.<br /><br />Yes, it is [the sun is shining].
他|對 ， 他 是 。<br /><br />duì, tā shì.<br /><br />Yes, he is [Chinese].
這|我 不相信 ！ 這 不可能 ！<br /><br />wǒ bùxiāngxìn! zhè bùkěnéng!<br /><br />I don't believe it! That's impossible.
中|長城 在 中國 。<br /><br />chángchéng zài zhōngguó.<br /><br />The Great Wall of China is in China.
大|今天 風 不大 。<br /><br />jīntiān fēng búdà.<br /><br />It isn't windy today.
來|我 沒聽到 你 進來 。<br /><br />wǒ méitīngdào nǐ jìnlái.<br /><br />I didn't hear you come in.
上|我 要 在 你 上 大學 以前 給 你 一點 意見 。<br /><br />wǒ yào zài nǐ shàng dàxué yǐqián gěi nǐ yìdiǎn yìjiàn.<br /><br />I'd like to give you some advice before you go off to college.
國|不是 ， 她 是 美國人 。<br /><br />búshì, tā shì měiguórén.<br /><br />No, she's American.
個|他 有個 新工作 。<br /><br />tā yǒuge· xīngōngzuò.<br /><br />He has a new job.
到|我 沒聽到 你 進來 。<br /><br />wǒ méitīngdào nǐ jìnlái.<br /><br />I didn't hear you come in.
說|他們 說的 全都 是 真的 。<br /><br />tāmen shuōde· quándōu shì zhēnde·.<br /><br />Everything that they said was true. > Everything they said was true.
們|他們 很好。<br /><br />tāmen hěnhǎo.<br /><br />They're fine.
為|我 以為 他們 不會來 ， 這 真是個 大驚喜 。<br /><br />wǒ yǐwèi tāmen búhuìlái, zhè zhēnshìge· dàjīngxǐ.<br /><br />I wasn't expecting them to come. It was a complete surprise.
子|那 是 我的 位子 。<br /><br />nà shì wǒde· wèizǐ.<br /><br />That's my seat.
和|我 喜歡 那些 和 我 一起 工作的 人 。<br /><br />wǒ xǐhuān nàxiē hàn wǒ yìqǐ gōngzuòde· rén.<br /><br />I like the people I work with.
你|看 你 。<br /><br />kàn nǐ.<br /><br />It depends on you.
