#front|back
今天 天氣 不錯 。|The weather's nice today.<br /><br />今天 天氣 不錯 。<br /><br />jīntiān tiānqì búcuò.
我 不是 有錢人 。|I'm not rich.<br /><br />我 不是 有錢人 。<br /><br />wǒ búshì yǒuqiánrén.
這個 包包 好重 。|This bag's heavy.<br /><br />這個 包包 好重 。<br /><br />zhège· bāobāo hǎozhòng.
這些 包包 好重 。|These bags are heavy.<br /><br />這些 包包 好重 。<br /><br />zhèxiē bāobāo hǎozhòng.
你 看 ， 那 是 我的 朋友 。|Look, there's my friend.<br /><br />你 看 ， 那 是 我的 朋友 。<br /><br />nǐ kàn, nà shì wǒde· péngyǒu.
我 和 我哥哥 都 很 會 打 網球 。|My brother and I are good tennis players.<br /><br />我 和 我哥哥 都 很 會 打 網球 。<br /><br />wǒ hàn wǒgēgē dōu hěn huì dǎ wǎngqiú.
他的 媽媽 在 家 ， 他 在 學校 。|His mother's at home. He's at school.<br /><br />他的 媽媽 在 家 ， 他 在 學校 。<br /><br />tāde· māmā zài jiā, tā zài xuéxiào.
她的 小孩 在 學校 。|Her children are at school.<br /><br />她的 小孩 在 學校 。<br /><br />tāde· xiǎohái zài xuéxiào.
我 是 計程車司機 。|I'm a taxi driver.<br /><br />我 是 計程車司機 。<br /><br />wǒ shì jìchéngchēsījī.
我 妹妹 是 護士 。|My sister's a nurse.<br /><br />我 妹妹 是 護士 。<br /><br />wǒ mèimei· shì hùshì.
他 感冒 ， 他 躺在 床上 。|He's sick. He's in bed.<br /><br />他 感冒 ， 他 躺在 床上 。<br /><br />tā gǎnmào, tā tǎngzài chuángshàng.
我 不餓 ， 但 我 好渴 。|I'm not hungry, but I'm thirsty.<br /><br />我 不餓 ， 但 我 好渴 。<br /><br />wǒ búè, dàn wǒ hǎokě.
他 年紀 很大了 。 他 九十八歲 了 。|He's a very old man. He's ninety-eight (98) years old.<br /><br />他 年紀 很大了 。 他 九十八歲 了 。<br /><br />tā niánjì hěndàle·. tā jiǔshíbāsuì le·.
這些 椅子 不漂亮 ， 但 很舒服 。|These chairs aren't beautiful, but they're comfortable.<br /><br />這些 椅子 不漂亮 ， 但 很舒服 。<br /><br />zhèxiē yǐzǐ búpiàoliàng, dàn hěnshūfú.
今天 天氣 溫暖 又 晴朗 。|The weather's warm and sunny today.<br /><br />今天 天氣 溫暖 又 晴朗 。<br /><br />jīntiān tiānqì wēnnuǎn yòu qínglǎng.
你 遲到 。— 沒有 ， 我 沒有 遲到 。 我 早 到 。|You're late. — No, I'm not! I'm early.<br /><br />你 遲到 。— 沒有 ， 我 沒有 遲到 。 我 早 到 。<br /><br />nǐ chídào. — méiyǒu, wǒ méiyǒu chídào. wǒ zǎo dào.
她 不在 家 ， 她 在 工作 。|She isn't home. She's at work.<br /><br />她 不在 家 ， 她 在 工作 。<br /><br />tā búzài jiā, tā zài gōngzuò.
這 是 你的 外套 。|Here's your coat.<br /><br />這 是 你的 外套 。<br /><br />zhè shì nǐde· wàitào.
你 叫 什麼 名字 ？|What's your name?<br /><br />你 叫 什麼 名字 ？<br /><br />nǐ jiào shéme míngzì?
我 叫 艾倫 。|My name's Alan.<br /><br />我 叫 艾倫 。<br /><br />wǒ jiào àilún.
你 從 哪裡 來 ？|Where are you from?<br /><br />你 從 哪裡 來 ？<br /><br />nǐ cóng nǎlǐ lái?
我 來自 紐約 。|I'm from New York.<br /><br />我 來自 紐約 。<br /><br />wǒ láizì niǔyuē.
你 幾歲 ？|How old are you?<br /><br />你 幾歲 ？<br /><br />nǐ jǐsuì?
我 二十歲 。|I'm twenty (20) years old.<br /><br />我 二十歲 。<br /><br />wǒ èrshísuì.
你 從事 什麼 工作 ？|What's your job?<br /><br />你 從事 什麼 工作 ？<br /><br />nǐ cóngshì shéme gōngzuò?
我 是 老師 。|I'm a teacher.<br /><br />我 是 老師 。<br /><br />wǒ shì lǎoshī.
你 最 喜歡 什麼 顏色 ？|What's your favorite color?<br /><br />你 最 喜歡 什麼 顏色 ？<br /><br />nǐ zuì xǐhuān shéme yánsè?
我 最喜歡的 顏色 是 藍色 。|My favorite color is blue.<br /><br />我 最喜歡的 顏色 是 藍色 。<br /><br />wǒ zuìxǐhuānde· yánsè shì lánsè.
你 對 什麼 有興趣 ？|What are you interested in?<br /><br />你 對 什麼 有興趣 ？<br /><br />nǐ duì shéme yǒuxìngqù?
我 對 音樂 有興趣 。|I'm interested in music.<br /><br />我 對 音樂 有興趣 。<br /><br />wǒ duì yīnyuè yǒuxìngqù.
今天 好熱 。|It's hot today.<br /><br />今天 好熱 。<br /><br />jīntiān hǎorè.
今天 不熱 。|It isn't hot today.<br /><br />今天 不熱 。<br /><br />jīntiān búrè.
今天 風 好大 。|It's windy today.<br /><br />今天 風 好大 。<br /><br />jīntiān fēng hǎodà.
今天 風 不大 。|It isn't windy today.<br /><br />今天 風 不大 。<br /><br />jīntiān fēng búdà.
